Site	Disturbance_Conversion	Plants	Invertebrates	Birds	Herpetofauna	Mammals	Cover	Density	Biomass	Height	Litter	RR
1	shaded_plantation	0	0	1	0	0	0	0	0	0	0	-0.0206
1	shaded_plantation	0	0	1	0	0	0	0	0	0	0	-0.1542
1	agriculture	0	0	1	0	0	0	0	0	0	0	-0.2542
1	agriculture	0	0	1	0	0	0	0	0	0	0	-0.2542
1	agriculture	0	0	1	0	0	0	0	0	0	0	-0.4906
1	agriculture	0	0	1	0	0	0	0	0	0	0	-0.0632
1	agriculture	0	0	1	0	0	0	0	0	0	0	-1.4069
1	agriculture	0	0	1	0	0	0	0	0	0	0	-1.4069
1	agriculture	0	0	1	0	0	0	0	0	0	0	-2.2824
1	pasture	0	0	1	0	0	0	0	0	0	0	-2.2824
1	plantation	0	0	1	0	0	0	0	0	0	0	1.189
1	plantation	0	0	1	0	0	0	0	0	0	0	0.9944
1	agriculture	0	0	1	0	0	0	0	0	0	0	1.3798
1	agriculture	0	0	1	0	0	0	0	0	0	0	1.1851
1	agriculture	0	0	1	0	0	0	0	0	0	0	0.8808
1	agriculture	0	0	1	0	0	0	0	0	0	0	1.7918
1	agriculture	0	0	1	0	0	0	0	0	0	0	0.2296
1	agriculture	0	0	1	0	0	0	0	0	0	0	1.2444
1	agriculture	0	0	1	0	0	0	0	0	0	0	-1.3058
1	pasture	0	0	1	0	0	0	0	0	0	0	0.1099
1	shaded_plantation	0	0	0	0	1	0	0	0	0	0	0.7699
1	shaded_plantation	0	0	0	0	1	0	0	0	0	0	-0.409
1	agriculture	0	0	0	0	1	0	0	0	0	0	0.8187
1	agriculture	0	0	0	0	1	0	0	0	0	0	0.7699
1	agriculture	0	0	0	0	1	0	0	0	0	0	-0.0142
1	agriculture	0	0	0	0	1	0	0	0	0	0	0.5192
1	shaded_plantation	0	0	0	0	1	0	0	0	0	0	-0.0488
1	shaded_plantation	0	0	0	0	1	0	0	0	0	0	-0.1404
1	agriculture	0	0	0	0	1	0	0	0	0	0	0.619
1	agriculture	0	0	0	0	1	0	0	0	0	0	0.2039
1	agriculture	0	0	0	0	1	0	0	0	0	0	0.069
1	agriculture	0	0	0	0	1	0	0	0	0	0	-0.2412
1	shaded_plantation	0	1	0	0	0	0	0	0	0	0	0.1201
1	shaded_plantation	0	1	0	0	0	0	0	0	0	0	0.0314
