Site	Biogeographic_realm	Disturbance	Activity	Time	Cover_5	LPS_5	MPS_5	Iso_5	Ratio_5	Plants	Invertebrates	Birds	Herpetofauna	Mammals	Cover	Density	Biomass	Height	Litter	Metric	abRR
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	0	0	0	0	0	0	0	0	1	0	structure	0.184
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	0	0	0	0	0	1	0	0	0	0	structure	0.2183
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	0	0	0	0	0	0	0	1	0	0	structure	0.5596
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	1	0	0	0	0	0	0	0	0	0	abundance	0.47
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	1	0	0	0	0	0	0	0	0	0	abundance	0.4595
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	1	0	0	0	0	0	0	0	0	0	abundance	0.7538
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	1	0	0	0	0	0	0	0	0	0	richness	0.0953
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	1	0	0	0	0	0	0	0	0	0	richness	0.0351
2	Neotropic	secondary	passive	13.5	96.25	7.954238515	7.954238515	5.38	0.467	1	0	0	0	0	0	0	0	0	0	richness	0.5978
3	Neotropic	secondary	passive	10	0	5.999996005	5.999996005	0.361	4	0	0	0	0	0	0	0	0	1	0	structure	1.5706
3	Neotropic	secondary	passive	25	0	5.999996005	5.999996005	0.361	4	0	0	0	0	0	0	0	0	1	0	structure	0.2207
3	Neotropic	secondary	passive	10	0	5.999996005	5.999996005	0.361	4	0	0	0	0	0	0	0	1	0	0	structure	0.632
3	Neotropic	secondary	passive	25	0	5.999996005	5.999996005	0.361	4	0	0	0	0	0	0	0	1	0	0	structure	0.6138
3	Neotropic	secondary	passive	10	0	5.999996005	5.999996005	0.361	4	0	1	0	0	0	0	0	0	0	0	richness	0.9619
3	Neotropic	secondary	passive	25	0	5.999996005	5.999996005	0.361	4	0	1	0	0	0	0	0	0	0	0	richness	0.1659
3	Neotropic	secondary	passive	10	0	5.999996005	5.999996005	0.361	4	0	1	0	0	0	0	0	0	0	0	abundance	0.1559
3	Neotropic	secondary	passive	25	0	5.999996005	5.999996005	0.361	4	0	1	0	0	0	0	0	0	0	0	abundance	0.2512
3	Neotropic	secondary	passive	10	0	5.999996005	5.999996005	0.361	4	0	1	0	0	0	0	0	0	0	0	diversity	1.5435
3	Neotropic	secondary	passive	25	0	5.999996005	5.999996005	0.361	4	0	1	0	0	0	0	0	0	0	0	diversity	0.0183
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	richness	0.47
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	richness	0.08
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	richness	0.6931
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	richness	0.4055
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	abundance	0.7885
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	abundance	0.0953
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	abundance	1.4816
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	0	1	0	0	0	0	0	0	0	0	abundance	1.2528
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	1	0	0	0	0	0	0	0	0	0	richness	0.3365
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	1	0	0	0	0	0	0	0	0	0	richness	0.3365
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	1	0	0	0	0	0	0	0	0	0	abundance	1.7918
4	Neoarctic	secondary	active_managed	4	10	6.69896601	6.47711726	1.183	3.156	1	0	0	0	0	0	0	0	0	0	abundance	0.3365
5	Australasia	secondary	passive	7	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	richness	0.3228
5	Australasia	secondary	passive	7	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	abundance	0.5596
5	Australasia	secondary	passive	7	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	diversity	0.1654
5	Australasia	secondary	passive	7	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.151
5	Australasia	secondary	passive	7	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.1415
5	Australasia	secondary	passive	7	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	similarity	0.2833
5	Australasia	secondary	passive	42.5	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	richness	0.0715
5	Australasia	secondary	passive	42.5	92.5	7.959037398	7.959037398	4.845	0.462	0	0	1	0	0	0	0	0	0	0	abundance	0.5596
