Sort,Colony,Count_type,Height_m,Counter,Count,percent_Input,Notes
1,1,Retreived_skewers,n/a,AA,636,NA,This is the true number of individuals for the colony
2,2,Retreived_skewers,n/a,AA,463,NA,This is the true number of individuals for the colony
3,3,Retreived_skewers,n/a,AA,547,NA,This is the true number of individuals for the colony
4,4,Retreived_skewers,n/a,AA,504,NA,This is the true number of individuals for the colony
5,6,Retreived_skewers,n/a,AA,863,NA,This is the true number of individuals for the colony
6,10,Retreived_skewers,n/a,AA,563,NA,This is the true number of individuals for the colony
7,7,Retreived_skewers,n/a,AA,839,NA,This is the true number of individuals for the colony
8,8,Retreived_skewers,n/a,AA,843,NA,This is the true number of individuals for the colony
9,9,Retreived_skewers,n/a,AA,977,NA,This is the true number of individuals for the colony
10,5,Retreived_skewers,n/a,AA,1017,NA,This is the true number of individuals for the colony
11,1,Ground,n/a,GA,391,NA,
12,1,Ground,n/a,GB,709,NA,
13,1,Ground,n/a,GC,520,NA,
14,1,Ground,n/a,GD,541,NA,
15,1,Ground,n/a,GE,579,NA,
16,1,Ground,n/a,GF,569,NA,
17,1,Ground,n/a,GG,584,NA,
18,2,Ground,n/a,GA,405,NA,
19,2,Ground,n/a,GB,479,NA,
20,2,Ground,n/a,GC,685,NA,
21,2,Ground,n/a,GD,424,NA,
22,2,Ground,n/a,GE,461,NA,
23,2,Ground,n/a,GF,477,NA,
24,2,Ground,n/a,GG,423,NA,
25,3,Ground,n/a,GA,730,NA,
26,3,Ground,n/a,GB,551,NA,
27,3,Ground,n/a,GC,650,NA,
28,3,Ground,n/a,GD,563,NA,
29,3,Ground,n/a,GE,602,NA,
30,3,Ground,n/a,GF,468,NA,
31,3,Ground,n/a,GG,479,NA,
32,4,Ground,n/a,GA,413,NA,
33,4,Ground,n/a,GB,489,NA,
34,4,Ground,n/a,GC,720,NA,
35,4,Ground,n/a,GD,486,NA,
36,4,Ground,n/a,GE,496,NA,
37,4,Ground,n/a,GF,365,NA,
38,4,Ground,n/a,GG,427,NA,
39,6,Ground,n/a,GA,581,NA,
40,6,Ground,n/a,GB,670,NA,
41,6,Ground,n/a,GC,1120,NA,
42,6,Ground,n/a,GD,714,NA,
43,6,Ground,n/a,GE,669,NA,
44,6,Ground,n/a,GF,640,NA,
45,6,Ground,n/a,GG,634,NA,
46,10,Ground,n/a,GA,413,NA,
47,10,Ground,n/a,GB,491,NA,
48,10,Ground,n/a,GC,570,NA,
49,10,Ground,n/a,GD,506,NA,
50,10,Ground,n/a,GE,425,NA,
51,10,Ground,n/a,GF,481,NA,
52,10,Ground,n/a,GG,438,NA,
53,7,Ground,n/a,GA,745,NA,
54,7,Ground,n/a,GC,950,NA,
55,7,Ground,n/a,GD,757,NA,
56,7,Ground,n/a,GF,550,NA,
57,7,Ground,n/a,GG,691,NA,
58,8,Ground,n/a,GA,726,NA,
59,8,Ground,n/a,GC,1115,NA,
60,8,Ground,n/a,GD,776,NA,
61,8,Ground,n/a,GF,410,NA,
62,8,Ground,n/a,GG,661,NA,
63,9,Ground,n/a,GA,635,NA,
64,9,Ground,n/a,GC,982,NA,
65,9,Ground,n/a,GD,970,NA,
66,9,Ground,n/a,GF,731,NA,
67,9,Ground,n/a,GG,701,NA,
68,5,Ground,n/a,GA,828,NA,
69,5,Ground,n/a,GD,898,NA,
70,5,Ground,n/a,GF,917,NA,
71,5,Ground,n/a,GG,867,NA,
72,1,UAV_manual,30,MA,634,NA,
73,2,UAV_manual,30,MA,465,NA,
74,3,UAV_manual,30,MA,549,NA,
75,4,UAV_manual,30,MA,503,NA,
76,5,UAV_manual,30,MA,1022,NA,
77,6,UAV_manual,30,MA,858,NA,
78,7,UAV_manual,30,MA,839,NA,
79,8,UAV_manual,30,MA,846,NA,
80,9,UAV_manual,30,MA,965,NA,
81,10,UAV_manual,30,MA,563,NA,
82,1,UAV_manual,120,MB,627,NA,
83,2,UAV_manual,120,MB,471,NA,
84,3,UAV_manual,120,MB,558,NA,
85,4,UAV_manual,120,MB,496,NA,
86,5,UAV_manual,120,MB,543,NA,
87,6,UAV_manual,120,MB,854,NA,
88,7,UAV_manual,120,MB,818,NA,
89,8,UAV_manual,120,MB,561,NA,
90,9,UAV_manual,120,MB,639,NA,
91,10,UAV_manual,120,MB,529,NA,
92,1,UAV_manual,60,MC,634,NA,
93,2,UAV_manual,60,MC,464,NA,
94,3,UAV_manual,60,MC,549,NA,
95,4,UAV_manual,60,MC,499,NA,
96,5,UAV_manual,60,MC,911,NA,
