colony,technique,count,diff,absdiff,actual,Obs,focus,counter,image
1,UAV60,634,-2,2,636,AR,Y,UAV,Y
1,UAV120,623,-13,13,636,AF,Y,UAV,Y
1,UAV90,619,-17,17,636,AJ,Y,UAV,Y
1,UAV90,612,-24,24,636,AY,Y,UAV,Y
1,Ground,391,-245,245,636,AS,Y,Gro,N
1,UAV90,634,-2,2,636,AH,Y,UAV,Y
1,UAV60,634,-2,2,636,BH,Y,UAV,Y
1,UAV30,634,-2,2,636,CA,Y,UAV,Y
1,Ground,709,73,73,636,DR,Y,Gro,N
1,UAV30,634,-2,2,636,DN,Y,UAV,Y
1,UAV90,637,1,1,636,DM,Y,UAV,Y
1,UAV30,634,-2,2,636,DT,Y,UAV,Y
1,UAV120,630,-6,6,636,GS,Y,UAV,Y
1,Ground,520,-116,116,636,GC,Y,Gro,N
1,UAV120,627,-9,9,636,JB,Y,UAV,Y
1,UAV90,624,-12,12,636,JM,Y,UAV,Y
1,Ground,541,-95,95,636,JD,Y,Gro,N
1,UAV90,625,-11,11,636,JP,Y,UAV,Y
1,UAV60,633,-3,3,636,JC,Y,UAV,Y
1,UAV60,635,-1,1,636,JG,Y,UAV,Y
1,Ground,579,-57,57,636,LM,Y,Gro,N
1,Ground,569,-67,67,636,LC,Y,Gro,N
1,UAV60,634,-2,2,636,MB,Y,UAV,Y
1,UAV30,634,-2,2,636,MD,Y,UAV,Y
1,UAV90,631,-5,5,636,MW,Y,UAV,Y
1,UAV60,632,-4,4,636,MG,Y,UAV,Y
1,UAV90,622,-14,14,636,MF,Y,UAV,Y
1,UAV120,624,-12,12,636,NH,Y,UAV,Y
1,UAV30,634,-2,2,636,PM,Y,UAV,Y
1,UAV120,646,10,10,636,PY,Y,UAV,Y
1,Ground,584,-52,52,636,PS,Y,Gro,N
1,UAV120,618,-18,18,636,SR,Y,UAV,Y
1,UAV30,635,-1,1,636,SV,Y,UAV,Y
1,UAV60,633,-3,3,636,SK,Y,UAV,Y
1,UAV120,627,-9,9,636,XG,Y,UAV,Y
1,UAV30,632,-4,4,636,ZB,Y,UAV,Y
2,UAV60,464,1,1,463,AR,Y,UAV,Y
2,UAV120,464,1,1,463,AF,Y,UAV,Y
2,UAV90,456,-7,7,463,AJ,Y,UAV,Y
2,UAV90,465,2,2,463,AY,Y,UAV,Y
2,Ground,405,-58,58,463,AS,Y,Gro,N
2,UAV90,467,4,4,463,AH,Y,UAV,Y
2,UAV60,464,1,1,463,BH,Y,UAV,Y
2,UAV30,466,3,3,463,CA,Y,UAV,Y
2,Ground,479,16,16,463,DR,Y,Gro,N
2,UAV30,467,4,4,463,DN,Y,UAV,Y
2,UAV90,466,3,3,463,DM,Y,UAV,Y
2,UAV30,465,2,2,463,DT,Y,UAV,Y
2,UAV120,465,2,2,463,GS,Y,UAV,Y
2,Ground,685,222,222,463,GC,Y,Gro,N
2,UAV120,471,8,8,463,JB,Y,UAV,Y
2,UAV90,462,-1,1,463,JM,Y,UAV,Y
2,Ground,424,-39,39,463,JD,Y,Gro,N
2,UAV90,461,-2,2,463,JP,Y,UAV,Y
2,UAV60,465,2,2,463,JC,Y,UAV,Y
2,UAV60,465,2,2,463,JG,Y,UAV,Y
2,Ground,461,-2,2,463,LM,Y,Gro,N
2,Ground,477,14,14,463,LC,Y,Gro,N
2,UAV60,465,2,2,463,MB,Y,UAV,Y
2,UAV30,465,2,2,463,MD,Y,UAV,Y
2,UAV90,462,-1,1,463,MW,Y,UAV,Y
2,UAV60,464,1,1,463,MG,Y,UAV,Y
2,UAV90,460,-3,3,463,MF,Y,UAV,Y
2,UAV120,454,-9,9,463,NH,Y,UAV,Y
2,UAV30,465,2,2,463,PM,Y,UAV,Y
2,UAV120,464,1,1,463,PY,Y,UAV,Y
2,Ground,423,-40,40,463,PS,Y,Gro,N
2,UAV120,458,-5,5,463,SR,Y,UAV,Y
2,UAV30,465,2,2,463,SV,Y,UAV,Y
2,UAV60,464,1,1,463,SK,Y,UAV,Y
2,UAV120,462,-1,1,463,XG,Y,UAV,Y
2,UAV30,465,2,2,463,ZB,Y,UAV,Y
3,UAV60,549,2,2,547,AR,Y,UAV,Y
3,UAV120,555,8,8,547,AF,Y,UAV,Y
3,UAV90,542,-5,5,547,AJ,Y,UAV,Y
3,UAV90,549,2,2,547,AY,Y,UAV,Y
